name,nature,source,circumstance,gift_old_style,gift_received_date,gift_date
"Trudeau, Justin",Canadian Wolverine Hide,"Chief John French, Takla Nation, British Columbia ",Gift accepted on my behalf by the Indigenous Outreach Advisor in my Office at a meeting he..., ,2022/11/22,2023/01/13
"Trudeau, Justin",2022 FIFA Soccer Jersey and official Soccer Ball,"Mr. Gianni Infantino, Président of the Fédération international de Football Association (F...","Attended G20 Indonesia Leaders’ Summit 2022 held in Bali, Republic of Indonesia, during No...", ,2022/11/28,2023/01/13
"Trudeau, Justin",Painted scenes of “Lotus in the Wind” plate and “Holy Light” vase by artist Sophie Chang o...,"Dr. Morris Chang, Founder of Taiwan Semiconductor Manufacturing Company","Attended Asia-Pacific Economic Cooperation (APEC) Leaders’ Summit 2022 held in Bangkok, Th...", ,2022/11/28,2023/01/13
"Trudeau, Justin",Leather briefcase containing Hugo Boss pencil and ballpoint pen set and leather document f...,"His Excellency Kais Sa?ed, President of the Republic of Tunisia","Attended the Francophonie Summit 2022 held in Djerbä, Tunisia, during November 19-20, 2022...", ,2022/11/28,2023/01/13
"Diab, Lena Metlege",1 ticket to attend the Convenience Store Retail Awards Gala,CICC - Convenience Industry Council of Canada,Invitation to attend the awards gala, ,,2023/01/08
"Hajdu, Patricia",A handmade acrylic canvass painting ,Grand Chief Garrison Settee of the Manitoba Keewatinowi Okimakanak ,Gifted at the announcement of federal funding to support First Nations Health and communit..., ,2022/11/25,2022/12/22
"Bennett, Carolyn",A decorative piece of seal skin,"Dr. Gwen Healey Ekearok, Executive Director of the Qaujigiartiit Health Research Centre",Offered during an announcement of federal funding for the construction of a community well..., ,2022/11/16,2022/12/16
"Morgan, Hillary",A seal skin pelt,The Qaujigiartiit Health Research Centre,Offered on the occasion of an infrastructure announcement made by the Minister of Mental H..., ,2022/11/16,2022/12/16
"Goosney, Danika Louise",One ticket to attend the 50th Anniversary Gala of the Institute for Research on Public Pol...,Boyden,Invited in my personal capacity, ,2022/11/23,2022/12/14
"McLeod, Michael","Ticket to attend the Assembly of First Nations Holiday Gala December 8, 2022",Tlicho Government Chief Jackson Lafferty,Invited in my capacity as Member of Parliament, ,2022/12/08,2022/12/09
"Bernard, Angélique",A moose wood sculpture from artist Clyde Drew,"Her Honour The Honourable Judy May Foote, P.C., O.N.L, Lieutenant Governor of Newfoundland...","Following the Annual Meeting of the Governor General, Lieutenant Governors and Territorial...", ,2022/11/28,2022/12/09
"Vandal, Dan",One ticket to attend the following events in relation to the Canadian Football League (CFL...,The Canadian Football League,Attended the events and spoke in my capacity as Minister as a representative of the Federa..., ,2022/11/20,2022/12/06
"Parmar, Dovejot","1 ticket to attend the 2022 Global Citizen Award Gala on November 12, 2022 ",Empire Life of CanadaThe United Nations Association in Canada made arrangements with their...,Attended to support the Minister of National Defence, ,2022/11/12,2022/11/30
"Hipkin, Nikki",One ticket to attend the following events in relation to the Canadian Football League (CFL...,The Canadian Football League,"Providing support to the Minister of Northern Affairs, Minister responsible for Prairies E...", ,2022/11/20,2022/11/30
"Qualtrough, Carla","One ticket to attend the Pacific Autism Family Network Holiday Luncheon on November 25, 20...",Pacific Autism Family Network,Speaker at the Pacific Autism Family Network Holiday Luncheon, ,2022/09/28,2022/11/28
"Anand, Anita",Ticket to the 2022 United Nations Association in Canada's Global Citizen Award Gala,United Nations Association in Canada,Recipient of the 2022 Global Citizen Award, ,2022/11/04,2022/11/25
"Green, Matthew","Parliamentary intern (September 27, 2022 - June 30, 2023)",GreenPACc Parliamentary Internship Program,Hosting an intern in the Ottawa office to work on parliamentary duties, ,2022/09/27,2022/11/24
"Trudeau, Justin",Hand knotted Kashmiri Silk Carpet,"His Excellency Narendra Modi, Prime Minister of India","G7 Leaders’ Summit 2022 held in Bavaria, Germany on June 26, 2022", ,2022/10/12,2022/11/22
"Duclos, Jean-Yves",Two tickets (entrance) for Fidéides 2022,Chambre de commerce de Québec,Cocktail / Meal as part of the Fidéides, ,,2022/11/22
"Trudeau, Justin",Sulwhasoo Skin Products given to my spouse,"Mrs. Kim Keon Hee, First Lady of the Republic of Korea","Official visit to Ottawa on September 23, 2022", ,2022/10/21,2022/11/21
"Miller, Marc",Wolf pelt," John Allen French, Chief of Takla Lake First Nation",Meeting with Takla Lake First Nation, ,2022/11/16,2022/11/21
"Miller, Marc",Blanket,Sinixt First Nation and Confederated Tribes of Colville,Meeting with Sinixt First Nation and Confederated Tribes of Colville, ,2022/11/21,2022/11/21
"Khera, Kamal",Hand painted porcelain plate,"His Excellency Kanji Yamanouchi, Ambassador of Japan",Gift was offered on the occasion of an introductory in person meeting, ,,2022/11/16
"Michnowski, Ashley","1 ticket to attend the Association québécoise de l'industrie du disque, du spectacle et de...",ADISQ,Attended to support the Minister of Canadian Heritage and Québec Lieutenant, ,2022/10/21,2022/11/16
"Fortier, Mona","One ticket to attend the ICC Cares Gala, Keep it Moving on November 11, 2022 at the Infini...",The Indo-Canadian Community,"Speaker at the ICC Cares Gala, Keep it Moving", ,2022/11/11,2022/11/15
"Petitpas Taylor, Ginette",Hand painted porcelain plate,"His Excellency Kanji Yamanouchi, Ambassador of Japan",Gift was offered on the occasion of an introductory in person meeting, ,,2022/11/15
"Rodriguez, Pablo","2 tickets to attend the Association québécoise de l'industrie du disque, du spectacle et d...",ADISQ,Keynote speaker as Minister of Canadian Heritage and Quebec Lieutenant, ,2022/10/21,2022/11/14
"Louzado, Danielle","One ticket to attend the Women, Wine & Wisdom event on November 2, 2022 at the National Ga...",Ottawa Board of Trade,Attended to support the President of the Treasury Board who was a guest panelist, ,2022/11/01,2022/11/14
"Mullan-Boudreau, Caitlin",Ticket to the United Nations Association in Canada's Global Citizen Gala,Empire Club of CanadaThe United Nations Association in Canada made arrangements with their...,"Providing support to the Minister of National Defence, who received the Global Citizen Awa...", ,2022/11/10,2022/11/11
"Minden, Daniel",Ticket to the United Nations Association in Canada's Global Citizen Gala,Empire LifeThe United Nations Association in Canada made arrangements with their sponsors ...,"Providing support to the Minister of National Defence, who received the Global Citizen Awa...", ,2022/11/10,2022/11/10
"Alie, Agathe","1 ticket to attend the Association québécoise de l'industrie du disque, du spectacle et de...",ADISQ,Attended to support the Minister of Canadian Heritage and Québec Lieutenant, ,2022/10/21,2022/11/09
"MacKinnon, Steven",1 ticket to attend the Tapisvert evening that will benefit the Fondation Forêt Boucher on ...,Fondation Forêt Boucher,Invited in my capacity as Member of Parliament for Gatineau, ,2022/11/04,2022/11/08
"Fortier, Mona","One ticket to attend the Women, Wine & Wisdom event on November 2, 2022 at the National Ga...",Ottawa Board of Trade,"Guest panelist at the Women, Wine & Wisdom event", ,2022/11/02,2022/11/08
"Ross, Loretta",A star blanket,Treaty 2 organization ,"Received August 20, 2021, on the commemoration of 150 years of the making of Treaty 2", ,,2022/11/08
"Koutrakis, Annie","2 tickets to attend the Gala of Heroes on November 5, 2022, in Montréal, Québec in honor o...",The Montreal Chinese Hospital Foundation ,Invited in my capacity as Member of Parliament for Vimy, ,2022/11/04,2022/11/07
"Koutrakis, Annie","2 tickets to attend the Gala of Heroes on November 5, 2022, in Montréal, Québec in honor o...",The Montreal Chinese Hospital Foundation ,Invited in my capacity as Member of Parliament for Vimy, ,2022/11/04,2022/11/07
"Chen, Shaun","Event or sporting event ticket(s)
Number of Tickets: 2
Mon Sheong Foundation's Cathay Ball...",Mon Sheong Foundation,Ticket offered in connection with my role as Member of Parliament, ,2022/11/05,2022/11/06
"Jamali, Malek-Michel",One ticket for the Soirée gala du Conseil du patronat du Québec,Conseil du patronat du Québec,"Support for the minister during his participation in the PROSPÈRE Awards, on October 20, 2...", ,2022/10/20,2022/11/04
"Miller, Marc",Ticket to the Institute for Research on Public Policy’s 50th anniversary gala ,Institute for Research on Public Policy,Keynote speaker, ,2022/11/01,2022/11/01
"Roberts, Anna",Tickets: 2Southlake 2022 Gala,Southlake Regional Health Centre Foundation,Invitation to attend the Southlake 2022 Gala, ,2022/09/28,2022/10/28
"Khan, Jaxson",Accommodation and travel expenses  ,Austrian Government,Participation in the Austrian Government Leadership Program between November 27 and Decemb..., ,,2022/10/28
"Fortier, Mona",Hand painted porcelain plate,"His Excellency Kanji Yamanouchi, Ambassador of Japan to Canada",Plate was offered on the occasion of an introductory in person meeting., ,2022/10/18,2022/10/28
"Khan, Jaxson",Meals served during a conference,The Canadian Ditchley Foundation,Participation in the Canadian Ditchley Foundation Conference on Digital security for democ..., ,,2022/10/28
"Dittmann, Paul George","Tickets: 1
Event or sporting event ticket(s)
Annual Convention and Trade Show of the Helic...","Barbara Priestley
Executive Assistant, HAC",Keynote speaker, ,2022/10/26,2022/10/26
"Bibeau, Marie-Claude",- One Indonesian Decorative Plate- Three Indonesian Table Runners- Two Traditional Indones...,Indonesian Agricultural Minister,"During the G20 Agriculture Ministers’ Meeting, in Indonesia, that took place from Septembe...", ,2022/09/28,2022/10/25
"Rempel Garner, Michelle",One non-partisan paid intern from the Canadian Political Science Association began work in...,Canadian Political Science Association,The ten interns of this program interviewed and chose the MPs they will work with. The int..., ,2022/10/05,2022/10/25
"Rodriguez, Pablo",One ticket for the Soirée gala du Conseil du patronat du Québec,Conseil du patronat du Québec,"Keynote speaker on behalf of the Prime Minister at the PROSPÈRE Awards, on October 20, 202...", ,2022/10/18,2022/10/24
"Weiler, Patrick",One non-partisan paid intern from the Canadian Political Science Association began work in...,Canadian Political Science Association (CPSA),The ten interns interviewed and chose the MPs they will work with. The interns are univers..., ,,2022/10/18
"Berthold, Luc","Paid and non-partisan Intern from the Canadian Political Association (October 5, 2022, to ...","Programme de stage parlementaire, Association canadienne de science politique",Les dix stagiaires ont eu des entretiens avec les députés et ils ont choisi ceux avec lesq..., ,2022/10/03,2022/10/17
"Miller, Marc",Handmade quilt," Lorraine Cobiness, Chief of Niisaachewan Anishinaabe Nation",Flooding claim settlement agreement and official apologies, ,2022/10/12,2022/10/14
"Trudeau, Justin",Official Triptych Medals for the Ninth Year of the Pontificate of His Holiness Pope Franci...,"His Holiness Pope Francis, Vatican City","Visit to Canada during June 24-29, 2022", ,2022/09/15,2022/10/13
"Trudeau, Justin","Bear Dancer by Königliche, Porzellan-Manufaktur, Berlin, Germany","His Excellency Olaf Scholz, Chancellor of the Federal Republic of Germany","Meeting in Montréal, Québec on August 21, 2022", ,2022/09/12,2022/10/13
"Trudeau, Justin",Kwang Juyo Heritage Mokdan Tea Set given to my spouse,"Mrs. Kim Keon Hee, First Lady of the Republic of Korea","Official visit to Ottawa on September 23, 2022", ,2022/09/27,2022/10/13
"Trudeau, Justin",Decorative Indonesia Ceremonial Sword presented in a cloth case,"His Excellency Joko Widodo, President of the Republic of Indonesia ","Meeting during G7 Summit at Schloss Elmau, Germany on June 26, 2022", ,2022/09/12,2022/10/13
"Trudeau, Justin",Pope Francis Medals to commemorate visit to Canada 2022,"His Holiness Pope Francis, Vatican City","Visit to Canada during June 24-29, 2022", ,2022/09/15,2022/10/13
"Trudeau, Justin",Mother-of-Pearl and leather document box presented in a cloth case,"His Excellency Yoon Suk Yeol, President of the Republic of Korea","Official visit to Ottawa on September 23, 2022", ,2022/09/27,2022/10/13
"Fillmore, Andy",One non-partisan paid intern from the Canadian Political Science Association began work in...,Canadian Political Science Association ,The ten interns interviewed and chose the MPs they will work with. The interns are univers..., ,2022/10/05,2022/10/13
"Dittmann, Paul George",All-access pass to the full two-day conference and tradeshow of the Canadian Association o...,CARS,Registration fee waived for government attendees, ,2022/10/05,2022/10/13
"Thompson, Joanne","A ticket to attend the 2022 Champions of Mental Health Award Dinner, on October 5, 2022.",Canadian Alliance on Mental Illness and Mental Health,Gift received within the customary standards of hospitality that normally accompany a Memb..., ,,2022/10/07
"Fillmore, Andy",One non-partisan paid intern from the Canadian Political Science Association began work in...,Canadian Political Science Association ,The ten interns interviewed and chose the MPs they will work with. The interns are univers..., ,2022/10/05,2022/10/06
"Scarpaleggia, Francis","A ticket to attend the Walrus Leadership Dinner on Groundwater September 27, 2022 in Ottaw...",The Walrus,Educational opportunity regarding the importance of groundwater, ,2022/09/27,2022/10/04
"Miller, Marc",Handcrafted clay vase,"R. Donald Maracle, Chief of the Mohawks of Bay of Quinte",Partial land claim settlement announcement, ,2022/10/03,2022/10/03
"Fortier, Mona","One ticket to attend the Do it for Democracy event on September 20, 2022 in Ottawa, Ontari...",Parliamentary Centre,Speaker at the Do it for Democracy event, ,2022/09/18,2022/09/22
"McGuinty, Eamonn","Transportation, accommodation and meals to attend the 2022 Biogas Summit and Fact-Finding ...",Ministry of Foreign Affairs of Denmark – The Danish Trade Council,Biogas Summit 2022 - Educational Opportunity, ,2022/09/20,2022/09/22
"Miller, Marc","Pair of tickets to ""Starwalker: A Celebration of the Songs, Music and Life of Buffy Sainte...",National Art Centre,Representative of the Government of Canada, ,2022/09/14,2022/09/19
"Ignace, Ronald E.",Maori pendant necklace,Ngai Tahu Maori delegation,"Ceremony honouring a Ngai Tahu Maori delegation in Kamloops, British Columbia", ,2022/09/14,2022/09/16
"Trudeau, Justin",“Set de Mesa Ancestral” by design firm  Lagrimas de Luna,"His Excellency President Gabriel Boric, President of the Republic of Chile","Official visit to Ottawa June 6, 2022", ,2022/08/16,2022/09/15
"McPherson, Heather",A small glazed tile painted with a landscape of Alberta,"Richard and Carol Selfridge, of Selfridge's Ceramic Art Collection",Gift from constituents as they are closing their local business, ,2022/08/12,2022/09/15
"Charette, Janice",Flight on a German military helicopter from the 48th G-7 Summit site at Schloss to Munich,Government of Germany,"Flight was provided on June 28, 2022, in the context of transporting dignitaries and offic...", ,,2022/09/12
"Hillman, Kirsten",Ammolite pendent necklace,Kainai First Nation,Visit to Kainai Forage as part of an outreach to Alberta, ,2022/07/21,2022/09/07
"Hillman, Kirsten",Soapstone bear sculpture,"Amarjeet Sohi, Mayor of Edmonton",Official meeting as part of an outreach to Alberta, ,2022/07/20,2022/09/07
"Miller, Marc",Painting and Star Blanket,"Ernie Dieter, Chief of the Peepeekisis Cree Nation",Formal Apology to the Peepeekisis Cree Nation for the File Hills Colony Scheme, ,2022/08/03,2022/09/02
"Miller, Marc",Painting and tracksuit of the Yorkton Tribal Council,"Isabelle O’Soup, Chief of the Yorkton Tribal Council",Meeting with the Yorkton Tribal Council and local First Nation leaders, ,2022/08/02,2022/09/02
"Miller, Marc",Beaded medallion and wooden arrow,"Leslie Crookedneck, Chief of the Ministikwan Lake Cree Nation",Welcome Ceremony at the Kâniyâsihk Cultural Camp and School, ,2022/08/04,2022/09/02
"Miller, Marc",Beaded medallion,"Kelly Wolfe, Chief of the Muskeg Lake Cree Nation",Announcement of the Muskeg Lake Soldier Settlement Board Claim , ,2022/08/04,2022/09/02
"Miller, Marc",National Centre for Truth and Reconciliation Survivor’s Flag and sweater,"Stephanie Scott, Executive Director of the National Centre for Truth and Reconciliation",Raising of the National Centre of Truth and Reconciliation Survivor’s Flag on Parliament H..., ,2022/08/29,2022/08/31
"Michnowski, Ashley",One ticket to attend the JUNO Opening Night Awards and the JUNO Awards Broadcast in Toront...,The Canadian Academy of Recording Arts and Sciences ,Attended to support of the Minister in his official duties, ,2022/05/15,2022/08/23
"Miller, Marc",Star Blanket ,"David Crate, Chief of Fisher River Cree First Nation","Meeting with Council of the Fisher River Cree First Nation, and visit of the community. ", ,2022/08/09,2022/08/23
"Miller, Marc",Ribbon shirt and ribbon skirt,"George Arcand,Chief of Alexander First NationGrand Chief of Treaty 6 territory",Visit to Treaty 6 territory as part of the Papal visit, ,2022/07/25,2022/08/19
"Fortier, Mona","One ticket to attend the Women in Governance Annual Recognition Gala on May 24, 2022 in To...",Women in Governance,Keynote Speaker at the Women in Governance Annual Recognition Gala, ,2022/05/24,2022/08/10
"Louzado, Danielle","One ticket to attend the Women in Governance Annual Recognition Gala on May 24, 2022 in To...",Women in Governance,Attended to support the Minister in her official duties, ,2022/05/24,2022/08/04
"Trudeau, Justin",Mont Blanc G7 Black Rollerball Pen,"His Excellency Olaf Scholz, Chancellor of the Federal Republic of Germany","Attended G7 Leaders’ Summit in Bavaria, Germany on June 26, 2022", ,2022/07/08,2022/07/26
"Trudeau, Justin","Artwork title “Cervantes, lucha de Gigantes” by Ricardo Santonja Jiménez","His Excellency Pedro Sánchez, President of the Government of the Kingdom of Spain","Attended Bilateral meeting at the NATO Leaders’ Summit in Madrid, Spain on June 30, 2022", ,2022/07/08,2022/07/26
"Trudeau, Justin",Lacquered box containing Rwanda essential oils and fragrances,"His Excellency Paul Kagame, President of the Republic of Rwanda","Attended Commonwealth Heads of Government Meeting 2022 in Kigali, Rwanda on June 25, 2022", ,2022/07/08,2022/07/26
"Trudeau, Justin",Cfreund Trachten & Lederhousen Manufacturer Backpack,"His Excellency Olaf Scholz, Chancellor of the Federal Republic of Germany","Attended G7 Leaders’ Summit in Bavaria, Germany on June 26, 2022", ,2022/07/08,2022/07/26
"Trudeau, Justin","Commemorative Coin minted in honour of the 275th anniversary of the birth of artist, Franc...","His Excellency Pedro Sánchez, President of the Government of the Kingdom of Spain","Attended NATO Leaders’ Summit in Madrid, Spain on June 29, 2022", ,2022/07/08,2022/07/26
"Miller, Marc","Talking stick, windbreaker, decorative paddle",Chiefs and Councillors of Gwa'sala-'Nakwaxda'xw,Visit to Gwa'sala-'Nakwaxda'xw for a memorandum of understanding signing and cultural spac..., ,2022/07/09,2022/07/19
"Miller, Marc","Talking stick, blanket and print",Chief of shíshálh Nation - Hiwus Warren Paul,Visit to shíshálh and celebration of amendments to the self-government legislation, ,2022/07/08,2022/07/19
"Fragiskatos, Peter",Two tickets to attend the Holy Roller Gala Ball,Joe and Nancy Murray,Invited in my capacity as Member of Parliament for London North Centre (event hosted in ri..., ,2022/07/15,2022/07/17
"Orbach-Miller, Harry","Trip to Israel from July 21 until July 31, 2022 (round-trip airfare, 2 meals a day, accomm...",Birthright Israel,Opportunity to visit Israel on an educational trip, ,,2022/07/13
"Miller, Marc","- Pen set and notebook- Jacket, scarf, and bug hat - Duck call - “Reindeer Days Remembered...","Duane Smith, Host of the Inuit-Crown Partnership Committee Chair and CEO of the Inuvialuit...",Co-chairing a meeting of the Inuit-Crown Partnership Committee, ,2022/06/27,2022/07/13
"Miller, Marc",Four pairs of beaded earrings and a beaded necklace ,"Jackson Lafferty, Grand Chief of the Tlicho Government","Visit to the Tlicho First Nation, and meeting with the Grand Chief and Executive Council", ,2022/06/29,2022/07/13
"Miller, Marc",Beaded medallion with the Treaty 2 Territory emblem,"Cornell McLean, Grand Chief of the Treaty 2 Territory and Chief of the Lake Manitoba First...",National Indigenous Peoples Day celebration, ,2022/06/21,2022/07/11
"Trudeau, Justin","Glass art titled “La Salsera” by Los Angeles Muralist, Dr. Judith F. Baca","The Honorable Joseph R. Biden Jr., President of the United States of America","Attended IX Summit of the Americas 2022 in Los Angeles, California on June 8, 2022", ,2022/06/15,2022/07/08
"Paquette-Dioury, Aïsha","2 tickets to attend the opening evening of the Festival d'été de Québec on July 6, 2022 in...","Festival d'été de Québec et son commanditaire, Bell Canada",Attended on behalf of the Minister of Canadian Heritage, ,2022/06/21,2022/07/08
"Rodriguez, Pablo","Two tickets to attend the Juno opening night awards and broadcast in Toronto, Ontario",The Canadian Academy of Recording Arts and Sciences,Spoke in my capacity as Minister of Canadian Heritage, ,2022/05/15,2022/07/07
"Rodriguez, Pablo","Dinner and gondola ticket on June 12, 2022 in Banff, Alberta",The Banff World Media Festival,Speaker as Minister of Canadian Heritage at the festival , ,2022/06/12,2022/06/30
"Carrière, Suzanne",A ribbon skirt and a star blanket,"Organizer / Host of the Matriarch Summit, Ms. Nahanni Fontaine",Thank you gift for being a volunteer Keynote Speaker during the Matriarch Summit on Treaty..., ,2022/06/24,2022/06/30
"Alie, Agathe","Dinner and gondola ticket on June 12, 2022 in Banff, Alberta",The Banff World Media Festival,To support the Minister in his official duties, ,2022/06/12,2022/06/30
"Rodriguez, Pablo",Two tickets to attend the show on July 14 and two tickets to attend the show on July 15 at...,Festival d’été de Québec,Invited in my capacity as Minister of Canadian Heritage and Québec Lieutenant, ,2022/06/07,2022/06/30
"Miller, Marc","Blanket, beaded medallion, and Treaty 7 Treaty Medal",Siksika Nation,Signing of a land claim settlement, ,2022/06/02,2022/06/23
"Miller, Marc",Blanket,Blackfoot Crossing Trading Post,Signing of a land claim settlement, ,2022/06/02,2022/06/23
"Ellis, Stephen","2 tickets for the May 13, 2022 California Wine Dinner 2022 organized by the Canadian Museu...",Touch of Gold jewelery in Halifax,tickets offered by a friend of my spouse, ,,2022/06/17
"Beech, Terry","Two tickets to attend the Ben-Gurion University Sustainability Gala on June 9, 2022 at the...","Adam Korbin, Member of the National Board of Directors, Ben-Gurion University",Gave a speech on behalf of the Prime Minister, ,2022/05/17,2022/06/17
"Hajdu, Patricia",Raven Carving,Squamish Nation,During a tour of the Greater Vancouver; visited British Columbia communities and made anno..., ,2022/05/12,2022/06/11
"Hajdu, Patricia",Blanket,Musqueam Nation,During a tour of the Greater Vancouver; visited British Columbia communities and made anno..., ,2022/05/12,2022/06/11
"Boissonnault, Randy",Wool Blanket,Siksika Nation – Boy Chief Trading Company,Visiting Siksika Nation during land settlement claim signing , ,2022/06/02,2022/06/07
"Anandasangaree, Gary",One non-partisan paid intern from the Parliamentary Internship Programme of the Canadian P...,Canadian Political Science Association (CPSA),The ten interns in the Parliamentary Internship Programmed interviewed and chose the MPs t..., ,2022/03/21,2022/06/07
"Damoff, Pam",A ticket and accommodation for the Canadian Association for Civilian Oversight of Law Enfo...,"Ms. Micheline Lahaie, President of the Canadian Association for Civilian Oversight of Law ...",Keynote speaker , ,,2022/06/07
"Anandasangaree, Gary",One non-partisan paid intern from the Parliamentary Internship Programme of the Canadian P...,Canadian Political Science Association (CPSA),The ten interns in the Parliamentary Internship Programmed interviewed and chose the MPs t..., ,2022/03/21,2022/06/06
"Singh, Jagmeet","Two tickets to attend the Juno Awards event on May 15, 2022 in Toronto, Ontario",The Canadian Academy of Recording Arts & Sciences (CARA),Invited in my official capacity as Leader of the New Democratic Party, ,2022/05/15,2022/06/06
"Mondou, Isabelle","Tickets: 1
Event or sporting event ticket(s)
JUNO Opening Night Awards","Allan ReidPresident et CEO, Canadian Academy of Recording Arts and Sciences",Representing the department of Heritage Canada, ,2022/05/14,2022/06/06
"Tochor, Corey","Shuttle Transportation - Port-Hope, Toronto, Tiverton, Ontario",Canadian Nuclear Association,Stakeholder meeting & Site visits, ,,2022/06/02
"Khanna, Mala",One ticket to attend the 2022 Indspire Awards Recipient Ceremony & Dinner at the Shaw Cent...,"Mike DeGagné, President and CEO, Indspire ",Attended on behalf of the Deputy Minister of Canadian Heritage, ,2022/05/09,2022/05/30
"Clow, Brian","One ticket to attend the 2022 White House Correspondents’ Association Dinner on April 30, ...",Thomson Reuters ,Invited in my official capacity as Deputy Chief of Staff, ,2022/04/25,2022/05/26
"Telford, Katie","One ticket to attend the 2022 White House Correspondents' Association Dinner on April 30, ...",Thomson Reuters ,Invited in my official capacity as Chief of Staff to the Prime Minister , ,2022/04/25,2022/05/26
"Hajdu, Patricia",Blanket,Southern Chief's Organization (Winnipeg),"During an attendance to the Southern Chief's Organization historic event on April 22, 2022...", ,,2022/05/24
"Hajdu, Patricia",Painted Handcrafted Paddle,"Hudson Bay Company, Winnipeg ","During an attendance to the Southern Chief's Organization historic event on April 22, 2022...", ,2022/04/22,2022/05/24
"Hajdu, Patricia","A beaded buffalo medallion, created by Megal Isnana",Chief Roberta Soo-Oyewaste of the Standing Buffalo Dakota Nation,"During a tour in Regina, Saskatchewan between April 11 and April 15, 2022, to speak with p...", ,2022/04/14,2022/05/24
"Hajdu, Patricia",Print of a painting of the Treaty Four Governance Centre,Tribal Chief Jeremy Fourhorns of the File Hills Qu'Appelle Tribal Council (FHQTC),"During a tour in Regina, Saskatchewan between April 11 and April 15, 2022, to speak with p...", ,2022/04/14,2022/05/24
"Hajdu, Patricia",Soap Stone hand carved with Métis National Symbol,Métis Nation of Alberta,"During a tour in Edmonton, Alberta between April 11 and April 15, 2022, to speak with part...", ,2022/04/13,2022/05/24
"Miller, Marc",Painting,Treaty Education Alliance,Signing of a Memorandum of Understanding on Education, ,2022/05/19,2022/05/20
"Dabrusin, Julie",One non-partisan paid intern from the Canadian Political Science Association began working...,Canadian Political Science Association,The ten interns interviewed and chose the MPs they will work with. The interns are univers..., ,2022/03/21,2022/05/19
"Lantsman, Melissa",PIP Intern,"PIP Internship Program
PIP Internship Program",PIP Intern, ,2022/03/17,2022/05/18
"Romanado, Sherry",MSA Cairns Firefighter helmet,"Edward Kelly, President, International Association of Fire Fighters (IAFF)","Speaker at the IAFF Legislative Conference in Ottawa on April 4, 2022 ", ,2022/04/04,2022/05/17
"Brock, Larry","One paid intern via the Parliamentary Internship Program (PIP) from March 21, 2022 to June...",Canadian Political Science Association,Intern candidates were interviewed by the PIP and one successful intern chose to come and ..., ,,2022/05/17
"Bezan, James","Intern assigned to work in my office on Parliament Hill from March 21, 2022 to June 16, 20...",Parliamentary Internship Programme (Canadian Political Science Association),Intern chooses a Member's of Parliament office to work with for fall and winter sessions., ,2022/03/21,2022/05/17
"Sgro, Judy","Ticket to Shen Yun Performance in Toronto, Ontario",Falun Dafa Association of Canada,Educational, ,,2022/05/16
"Miller, Marc",Pair of tickets to the 2022 Inspire Awards,Indspire,Government representative and award presenter, ,,2022/05/16
"Ross, Simon",Invitation to the organization's dinner event,Congrès de l’Association québécoise de la production médiatique ,Attended as part of the Minister's staff to support the Minister's work, ,,2022/05/16
"St-Onge, Pascale","A coat, a beanie and mittens from the Canadian Paralympic Team clothing collection",Canadian Paralympics Commitee,As part of the 2022 Winter Paralympics Games, ,2022/05/15,2022/05/15
"Fox, Kathleen Carol",Complimentary registration to the convention,Canadian Business Aviation Association,Speaker at Canadian Business Aviation Association Convention, ,2022/05/12,2022/05/13
"Miller, Marc",Pair of tickets to the McGill University's Third Century Gala,McGill University,Honored as a distinguished alumni, ,2022/05/09,2022/05/12
"Martinez Ferrada, Soraya",Services of a non-partisan paid intern working in my Member's office from March 20th to Ju...,Canadian Political Science Association,"Through the Parliamentary Internship Programme, interns interview the MP they choose to wo...", ,,2022/05/12
"Dabrusin, Julie",One non-partisan paid intern from the Canadian Political Science Association began working...,Canadian Political Science Association,The ten interns interviewed and chose the MPs they will work with. The interns are univers..., ,2022/03/21,2022/05/12
"Martinez Ferrada, Soraya",Services of a non-partisan paid intern working in my Member's office from March 20th to Ju...,Canadian Political Science Association,"Through the Parliamentary Internship Programme, interns interview the MP they choose to wo...", ,,2022/05/12
"Freeland, Chrystia",Four tickets to the Tryzub Awards Gala Dinner,Ukrainian Canadian Foundation of Taras Shevchenko and Myhal Family Foundation,Guest speaker and award presenter, ,2022/05/12,2022/05/12
"Freeland, Chrystia",Four tickets to the Tryzub Awards Gala Dinner,Ukrainian Canadian Foundation of Taras Shevchenko and Myhal Family Foundation,Guest speaker and award presentor, ,2022/05/12,2022/05/12
"Sarai, Randeep",One non-partisan paid intern from the Canadian Political Science Association began working...,Canadian Political Science Association,The ten interns interviewed and chose the MPs they will work with. The interns are univers..., ,2022/03/21,2022/05/11
"Lantsman, Melissa","One paid intern via the Parliamentary Internship Program (PIP) from March 21, 2022 to June...",Canadian Political Science Association,Intern candidates were interviewed by the PIP and one successful intern chose to come and ..., ,,2022/05/11
"Hillman, Kirsten",Pair of tickets to the 2022 White House Correspondents' Association Dinner on April 30th i...,Thomson Reuters,Invited in my official capacity, ,2022/04/26,2022/05/10
"Jaczek, Helena",Complimentary ticket to the Festival of Colours,"Mr. Allan Bell, Vice President Community Relations and Corporate Partnerships, Markham Sto...",In support of the main hospital in my riding, ,2022/03/25,2022/05/06
